"Artist","Title","Album","Key","Tempo","Date Added","Comment","Year","Energy","CuePoints","ClippedPeaks","Overall Volume"
"Deja Norm'al","View of Coma","From Atop A Burning Building","G","82.5","2023-02-20","9B - Energy 7","2006","7","8","0","-12.653397787879"
"Deja Norm'al","Goodbye Mr. Perfection","This War Is Over","B","145","2023-02-20","1B - Energy 3","2007","3","8","0","-14.00310965912"
"Deja Norm'al","The Great Escape","This War Is Over","D♭","87.01","2023-02-20","3B - Energy 7","2007","7","8","1","-12.6138457877635"
"Deja Norm'al","From Atop A Burning Building","From Atop A Burning Building","Am","149.98","2023-02-20","8A - Energy 6","2007","6","8","0","-16.4004657343477"
"Deja Norm'al","Keep It Steady","From Atop A Burning Building","G","116.5","2023-02-20","9B - Energy 4","2007","4","4","0","-14.5984174242724"
"Deja Norm'al","When Open Air Becomes A Battlefield","From Atop A Burning Building","Dm","155.02","2023-02-20","7A - Energy 6","2007","6","8","0","-17.3968588463487"
"Deja Norm'al","Life Is Just A Box","From Atop A Burning Building","E","100.01","2023-02-20","12B - Energy 5","2006","5","8","0","-16.6704742273474"
"Deja Norm'al","Where Are The Angels Now?","From Atop A Burning Building","F","100","2023-02-20","7B - Energy 6","2007","6","8","0","-14.4275414840009"
"Deja Norm'al","Valuntas Tua","From Atop A Burning Building","G","152","2023-02-20","9B - Energy 5","2006","5","8","0","-14.6726528677007"
"Deja Norm'al","Wynona Ride-You","From Atop A Burning Building","Bm","120.7","2023-02-20","10A - Energy 4","2006","4","5","0","-13.4798449003547"
"Deja Norm'al","May","From Atop A Burning Building","G","134.29","2023-02-20","9B - Energy 3","2006","3","8","0","-16.7571229190001"
"Deja Norm'al","Our Perfect Ending","From Atop A Burning Building","E♭","140.05","2023-02-20","5B - Energy 2","2006","2","3","0","-17.8663964981863"
"Deja Norm'al","View of Coma","This War Is Over","G♭","80.49","2023-02-20","2B - Energy 7","2007","7","4","0","-12.9861659189744"
"Deja Norm'al","Seven Days","This War Is Over","A♭","123.2","2023-02-20","4B - Energy 5","2007","5","8","0","-14.8658579215564"
"Deja Norm'al","Goodbye Mr. Perfection","From Atop A Burning Building","C","125","2023-02-20","8B - Energy 6","2007","6","8","0","-16.2094570061739"
"Deja Norm'al","Cemetaries And Greyhound Buses","From Atop A Burning Building","D","136.65","2023-02-20","10B - Energy 7","2007","7","8","0","-14.537619929683"
"Deja Norm'al","Diet Coke and Mentos","This War Is Over","D♭m","132.17","2023-02-20","12A - Energy 4","2007","4","6","0","-12.1325436189594"
"Deja Norm'al","A Letter To Write","This War Is Over","B","124.86","2023-02-20","1B - Energy 6","2007","6","8","0","-14.6899592066133"
